Section,Adj Section,Interface Area (m^2),Section Distance to Interface of Adj Section (m),Mixing Length,alpha,Adj Section,Interface Area (m^2),Section Distance to Interface of Adj Section (m),Mixing Length,alpha
1,2,10000,5.00E-02,-9.99E+02,1.00E+00
2,1,10000,5.00E-02,-9.99E+02,1.00E+00,3,10000,5.00E-02,-999,1
3,2,10000,5.00E-02,-9.99E+02,1.00E+00,4,10000,5.00E-02,-999,1
4,3,10000,5.00E-02,-9.99E+02,1.00E+00,5,10000,5.00E-02,-999,1
5,4,10000,5.00E-02,-9.99E+02,1.00E+00,6,10000,5.00E-02,-999,1
6,5,10000,5.00E-02,-9.99E+02,1.00E+00,7,10000,5.00E-02,-999,1
7,6,10000,5.00E-02,-9.99E+02,1.00E+00,8,10000,5.00E-02,-999,1
8,7,10000,5.00E-02,-9.99E+02,1.00E+00,9,10000,5.00E-02,-999,1
9,8,10000,5.00E-02,-9.99E+02,1.00E+00,10,10000,5.00E-02,-999,1
10,9,10000,5.00E-02,-9.99E+02,1.00E+00,11,10000,5.00E-02,-999,1
11,10,10000,5.00E-02,-9.99E+02,1.00E+00,12,10000,5.00E-02,-999,1
12,11,10000,5.00E-02,-9.99E+02,1.00E+00,13,10000,5.00E-02,-999,1
13,12,10000,5.00E-02,-9.99E+02,1.00E+00,14,10000,5.00E-02,-999,1
14,13,10000,5.00E-02,-9.99E+02,1.00E+00,15,10000,5.00E-02,-999,1
15,14,10000,5.00E-02,-9.99E+02,1.00E+00,16,10000,5.00E-02,-999,1
16,15,10000,5.00E-02,-9.99E+02,1.00E+00,17,10000,5.00E-02,-999,1
17,16,10000,5.00E-02,-9.99E+02,1.00E+00,18,10000,5.00E-02,-999,1
18,17,10000,5.00E-02,-9.99E+02,1.00E+00,19,10000,5.00E-02,-999,1
19,18,10000,5.00E-02,-9.99E+02,1.00E+00,20,10000,5.00E-02,-999,1
20,19,10000,5.00E-02,-9.99E+02,1.00E+00,21,10000,5.00E-02,-999,1
21,20,10000,5.00E-02,-9.99E+02,1.00E+00,22,10000,5.00E-02,-999,1
22,21,10000,5.00E-02,-9.99E+02,1.00E+00,23,10000,5.00E-02,-999,1
23,22,10000,5.00E-02,-9.99E+02,1.00E+00,24,10000,5.00E-02,-999,1
24,23,10000,5.00E-02,-9.99E+02,1.00E+00,25,10000,5.00E-02,-999,1
25,24,10000,5.00E-02,-9.99E+02,1.00E+00,26,10000,5.00E-02,-999,1
26,25,10000,5.00E-02,-9.99E+02,1.00E+00,27,10000,5.00E-02,-999,1
27,26,10000,5.00E-02,-9.99E+02,1.00E+00,28,10000,5.00E-02,-999,1
28,27,10000,5.00E-02,-9.99E+02,1.00E+00,29,10000,5.00E-02,-999,1
29,28,10000,5.00E-02,-9.99E+02,1.00E+00,30,10000,5.00E-02,-999,1
30,29,10000,5.00E-02,-9.99E+02,1.00E+00,31,10000,5.00E-02,-999,1
31,30,10000,5.00E-02,-9.99E+02,1.00E+00,32,10000,5.00E-02,-999,1
32,31,10000,5.00E-02,-9.99E+02,1.00E+00,33,10000,5.00E-02,-999,1
33,32,10000,5.00E-02,-9.99E+02,1.00E+00,34,10000,5.00E-02,-999,1
34,33,10000,5.00E-02,-9.99E+02,1.00E+00,35,10000,5.00E-02,-999,1
35,34,10000,5.00E-02,-9.99E+02,1.00E+00,36,10000,5.00E-02,-999,1
36,35,10000,5.00E-02,-9.99E+02,1.00E+00,37,10000,5.00E-02,-999,1
37,36,10000,5.00E-02,-9.99E+02,1.00E+00,38,10000,5.00E-02,-999,1
38,37,10000,5.00E-02,-9.99E+02,1.00E+00,39,10000,5.00E-02,-999,1
39,38,10000,5.00E-02,-9.99E+02,1.00E+00,40,10000,5.00E-02,-999,1
40,39,10000,5.00E-02,-9.99E+02,1.00E+00,41,10000,5.00E-02,-999,1
41,40,10000,5.00E-02,-9.99E+02,1.00E+00,42,10000,5.00E-02,-999,1
42,41,10000,5.00E-02,-9.99E+02,1.00E+00,43,10000,5.00E-02,-999,1
43,42,10000,5.00E-02,-9.99E+02,1.00E+00,44,10000,5.00E-02,-999,1
44,43,10000,5.00E-02,-9.99E+02,1.00E+00,45,10000,5.00E-02,-999,1
45,44,10000,5.00E-02,-9.99E+02,1.00E+00,46,10000,5.00E-02,-999,1
46,45,10000,5.00E-02,-9.99E+02,1.00E+00,47,10000,5.00E-02,-999,1
47,46,10000,5.00E-02,-9.99E+02,1.00E+00,48,10000,5.00E-02,-999,1
48,47,10000,5.00E-02,-9.99E+02,1.00E+00,49,10000,5.00E-02,-999,1
49,48,10000,5.00E-02,-9.99E+02,1.00E+00,50,10000,5.00E-02,-999,1
50,49,10000,5.00E-02,-9.99E+02,1.00E+00,51,10000,5.00E-02,-999,1
51,50,10000,5.00E-02,-9.99E+02,1.00E+00,52,10000,5.00E-02,-999,1
52,51,10000,5.00E-02,-9.99E+02,1.00E+00,53,10000,5.00E-02,-999,1
53,52,10000,5.00E-02,-9.99E+02,1.00E+00,54,10000,5.00E-02,-999,1
54,53,10000,5.00E-02,-9.99E+02,1.00E+00,55,10000,5.00E-02,-999,1
55,54,10000,5.00E-02,-9.99E+02,1.00E+00,56,10000,5.00E-02,-999,1
56,55,10000,5.00E-02,-9.99E+02,1.00E+00,57,10000,5.00E-02,-999,1
57,56,10000,5.00E-02,-9.99E+02,1.00E+00,58,10000,5.00E-02,-999,1
58,57,10000,5.00E-02,-9.99E+02,1.00E+00,59,10000,5.00E-02,-999,1
59,58,10000,5.00E-02,-9.99E+02,1.00E+00,60,10000,5.00E-02,-999,1
60,59,10000,5.00E-02,-9.99E+02,1.00E+00,61,10000,5.00E-02,-999,1
61,60,10000,5.00E-02,-9.99E+02,1.00E+00,62,10000,5.00E-02,-999,1
62,61,10000,5.00E-02,-9.99E+02,1.00E+00,63,10000,5.00E-02,-999,1
63,62,10000,5.00E-02,-9.99E+02,1.00E+00,64,10000,5.00E-02,-999,1
64,63,10000,5.00E-02,-9.99E+02,1.00E+00,65,10000,5.00E-02,-999,1
65,64,10000,5.00E-02,-9.99E+02,1.00E+00,66,10000,5.00E-02,-999,1
66,65,10000,5.00E-02,-9.99E+02,1.00E+00,67,10000,5.00E-02,-999,1
67,66,10000,5.00E-02,-9.99E+02,1.00E+00,68,10000,5.00E-02,-999,1
68,67,10000,5.00E-02,-9.99E+02,1.00E+00,69,10000,5.00E-02,-999,1
69,68,10000,5.00E-02,-9.99E+02,1.00E+00,70,10000,5.00E-02,-999,1
70,69,10000,5.00E-02,-9.99E+02,1.00E+00,71,10000,5.00E-02,-999,1
71,70,10000,5.00E-02,-9.99E+02,1.00E+00,72,10000,5.00E-02,-999,1
72,71,10000,5.00E-02,-9.99E+02,1.00E+00,73,10000,5.00E-02,-999,1
73,72,10000,5.00E-02,-9.99E+02,1.00E+00,74,10000,5.00E-02,-999,1
74,73,10000,5.00E-02,-9.99E+02,1.00E+00,75,10000,5.00E-02,-999,1
75,74,10000,5.00E-02,-9.99E+02,1.00E+00,76,10000,5.00E-02,-999,1
76,75,10000,5.00E-02,-9.99E+02,1.00E+00,77,10000,5.00E-02,-999,1
77,76,10000,5.00E-02,-9.99E+02,1.00E+00,78,10000,5.00E-02,-999,1
78,77,10000,5.00E-02,-9.99E+02,1.00E+00,79,10000,5.00E-02,-999,1
79,78,10000,5.00E-02,-9.99E+02,1.00E+00,80,10000,5.00E-02,-999,1
80,79,10000,5.00E-02,-9.99E+02,1.00E+00,81,10000,5.00E-02,-999,1
81,80,10000,5.00E-02,-9.99E+02,1.00E+00,82,10000,5.00E-02,-999,1
82,81,10000,5.00E-02,-9.99E+02,1.00E+00,83,10000,5.00E-02,-999,1
83,82,10000,5.00E-02,-9.99E+02,1.00E+00,84,10000,5.00E-02,-999,1
84,83,10000,5.00E-02,-9.99E+02,1.00E+00,85,10000,5.00E-02,-999,1
85,84,10000,5.00E-02,-9.99E+02,1.00E+00,86,10000,5.00E-02,-999,1
86,85,10000,5.00E-02,-9.99E+02,1.00E+00,87,10000,5.00E-02,-999,1
87,86,10000,5.00E-02,-9.99E+02,1.00E+00,88,10000,5.00E-02,-999,1
88,87,10000,5.00E-02,-9.99E+02,1.00E+00,89,10000,5.00E-02,-999,1
89,88,10000,5.00E-02,-9.99E+02,1.00E+00,90,10000,5.00E-02,-999,1
90,89,10000,5.00E-02,-9.99E+02,1.00E+00,91,10000,5.00E-02,-999,1
91,90,10000,5.00E-02,-9.99E+02,1.00E+00,92,10000,5.00E-02,-999,1
92,91,10000,5.00E-02,-9.99E+02,1.00E+00,93,10000,5.00E-02,-999,1
93,92,10000,5.00E-02,-9.99E+02,1.00E+00,94,10000,5.00E-02,-999,1
94,93,10000,5.00E-02,-9.99E+02,1.00E+00,95,10000,5.00E-02,-999,1
95,94,10000,5.00E-02,-9.99E+02,1.00E+00,96,10000,5.00E-02,-999,1
96,95,10000,5.00E-02,-9.99E+02,1.00E+00,97,10000,5.00E-02,-999,1
97,96,10000,5.00E-02,-9.99E+02,1.00E+00,98,10000,5.00E-02,-999,1
98,97,10000,5.00E-02,-9.99E+02,1.00E+00,99,10000,5.00E-02,-999,1
99,98,10000,5.00E-02,-9.99E+02,1.00E+00,100,10000,5.00E-02,-999,1
100,99,10000,5.00E-02,-9.99E+02,1.00E+00
